step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
329,29124,1316,0.08914037329389125,0.5,0.5,0.06947972792724613,0.75,0.75,,
330,29192,1320,0.11489110176942632,0.75,0.75,,,,,
331,29260,1324,0.08521093044124427,1.0,1.0,,,,,
332,29360,1328,0.045255123348712616,1.0,1.0,,,,,
333,29460,1332,0.07586394576239401,0.75,0.75,,,,,
334,29528,1336,0.15598114011507277,0.25,0.25,,,,,
335,29596,1340,0.13239665846342177,0.75,0.75,,,,,
336,29696,1344,0.03625244558045173,1.0,1.0,,,,,
337,29796,1348,0.06958456383344432,0.75,0.75,0.08297489116649862,0.75,0.75,,
338,29864,1352,0.08214707063716559,0.5,0.5,,,,,
339,29932,1356,0.21760846113382287,0.5,0.5,,,,,
340,30032,1360,0.07854186473098555,0.75,0.75,,,,,
341,30132,1364,0.0481954640069883,0.75,0.75,,,,,
342,30200,1368,0.0817355867874494,0.75,0.75,,,,,
343,30268,1372,0.08000979610158536,0.75,0.75,,,,,
344,30400,1376,0.067485727846597,0.75,0.75,,,,,
345,30500,1380,0.05147345684935014,1.0,1.0,0.15511260894852286,0.75,0.75,,
346,30600,1384,0.06806100458434232,0.75,0.75,,,,,
347,30668,1388,0.07001786137231192,1.0,1.0,,,,,
348,30736,1392,0.03997863925445927,1.0,1.0,,,,,
349,30804,1396,0.19057704803698927,0.5,0.5,,,,,
350,30904,1400,0.07357453222296803,1.0,1.0,,,,,
351,30972,1404,0.08553782685841953,0.75,0.75,,,,,
352,31072,1408,0.1307287656737632,0.25,0.25,,,,,
353,31140,1412,0.137444013681079,0.5,0.5,0.08192437610143884,1.0,1.0,,
354,31208,1416,0.09528068939176249,0.75,0.75,,,,,
355,31308,1420,0.03276948447591774,1.0,1.0,,,,,
356,31376,1424,0.0769195584903764,1.0,1.0,,,,,
357,31476,1428,0.07589203214804456,0.75,0.75,,,,,
358,31576,1432,0.057077699883799744,1.0,1.0,,,,,
359,31676,1436,0.09205173327641508,0.75,0.75,,,,,
360,31776,1440,0.06047754711666736,0.75,0.75,,,,,
361,31876,1444,0.09729354026381165,0.75,0.75,0.07498300069122707,0.75,0.75,,
362,31976,1448,0.09044508024862428,0.75,0.75,,,,,
363,32076,1452,0.07638874453369378,0.5,0.5,,,,,
364,32144,1456,0.06619878512980222,0.75,0.75,,,,,
365,32244,1460,0.04596449825946669,1.0,1.0,,,,,
366,32344,1464,0.026986029239288504,1.0,1.0,,,,,
367,32412,1468,0.12631752219531336,0.75,0.75,,,,,
368,32480,1472,0.10720759364631705,0.5,0.5,,,,,
369,32548,1476,0.0610552128916487,0.75,0.75,0.11780012900643667,0.75,0.75,,
370,32648,1480,0.05403884412975989,1.0,1.0,,,,,
371,32748,1484,0.03768457804961751,0.75,0.75,,,,,
372,32848,1488,0.04882137223091074,1.0,1.0,,,,,
373,32916,1492,0.07104324954140794,0.75,0.75,,,,,
374,32984,1496,0.04136658900589282,1.0,1.0,,,,,
375,33052,1500,0.05267105518801145,1.0,1.0,,,,,
376,33120,1504,0.11987430386917368,0.75,0.75,,,,,
377,33188,1508,0.08314606413533057,0.75,0.75,0.11199880319985597,0.75,0.75,,
378,33288,1512,0.04604482168727297,1.0,1.0,,,,,
379,33388,1516,0.025152292378719868,1.0,1.0,,,,,
380,33488,1520,0.09893805080981262,0.5,0.5,,,,,
381,33556,1524,0.042359859390114704,1.0,1.0,,,,,
382,33624,1528,0.17346210979998888,0.75,0.75,,,,,
383,33724,1532,0.04806131109765679,0.75,0.75,,,,,
384,33824,1536,0.03610776698413399,0.75,0.75,,,,,
385,33924,1540,0.026377789397520248,1.0,1.0,0.04841609373628671,1.0,1.0,,
386,33992,1544,0.08341665075989568,0.75,0.75,,,,,
387,34060,1548,0.09123161076884231,0.75,0.75,,,,,
388,34128,1552,0.12961045015596256,0.5,0.5,,,,,
389,34228,1556,0.045907927381012986,0.75,0.75,,,,,
390,34296,1560,0.0947789896868926,0.75,0.75,,,,,
391,34364,1564,0.10253785829137997,0.75,0.75,,,,,
392,34464,1568,0.036396025511215464,0.75,0.75,,,,,
393,34532,1572,0.029862371450071805,1.0,1.0,0.0399382647551829,1.0,1.0,,
394,34632,1576,0.06018899847491411,0.75,0.75,,,,,
395,34700,1580,0.05809941513001832,0.75,0.75,,,,,
396,34800,1584,0.05838547088123353,0.5,0.5,,,,,
397,34900,1588,0.036659070374832174,1.0,1.0,,,,,
398,35000,1592,0.04686563412342972,0.75,0.75,,,,,
399,35100,1596,0.024621457547054887,1.0,1.0,,,,,
400,35200,1600,0.03906973892342649,1.0,1.0,,,,,
401,35300,1604,0.03820750583644743,1.0,1.0,0.04151537289606949,1.0,1.0,,
402,35400,1608,0.08844703097678878,0.5,0.5,,,,,
403,35500,1612,0.021919383733238647,1.0,1.0,,,,,
404,35600,1616,0.10251392723298826,0.75,0.75,,,,,
405,35668,1620,0.05311962233774921,1.0,1.0,,,,,
406,35736,1624,0.02747375430487409,1.0,1.0,,,,,
407,35836,1628,0.01698289199543372,1.0,1.0,,,,,
408,35936,1632,0.022955595769605375,1.0,1.0,,,,,
409,36068,1636,0.05300669326771981,0.5,0.5,0.06430100703833887,0.75,0.75,,
410,36168,1640,0.04953036615036429,1.0,1.0,,,,,
411,36268,1644,0.045280382932717966,0.75,0.75,,,,,
412,36368,1648,0.052235127303950635,0.75,0.75,,,,,
413,36468,1652,0.03011600646403773,1.0,1.0,,,,,
414,36536,1656,0.11962287456111881,0.5,0.5,,,,,
415,36636,1660,0.03157985153676995,1.0,1.0,,,,,
416,36736,1664,0.01834287608760254,1.0,1.0,,,,,
417,36836,1668,0.03987647099118476,1.0,1.0,0.03811640315980185,0.75,0.75,,
418,36936,1672,0.01741279295738044,1.0,1.0,,,,,
419,37036,1676,0.03342162398556412,1.0,1.0,,,,,
420,37136,1680,0.13269072955674346,0.5,0.5,,,,,
421,37236,1684,0.050028224264378134,1.0,1.0,,,,,
422,37304,1688,0.08019160024035954,0.75,0.75,,,,,
